Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Backorders allowed?,Weight (g),Regular price,Categories,Tags,Meta: _rc_cas,Meta: _rc_formula,Meta: _rc_weight,Meta: _rc_sequence,Meta: _rc_purity,Meta: _rc_test_method,Meta: _rc_lot,Meta: _rc_quantity,Meta: _rc_form,Meta: _rc_storage,Meta: _rc_solubility,Meta: _rc_coa_url
simple,HX-101-5,BPC-157 5 mg,1,1,visible,"Synthetic pentadecapeptide reference material, 5 mg per vial, assayed at 99.1% by RP-HPLC. Supplied lyophilized for laboratory research use only.","<p>A synthetic 15-residue peptide supplied as a lyophilized powder in a sealed borosilicate vial. Each lot is assayed by reverse-phase HPLC with UV detection and confirmed by ESI mass spectrometry against its theoretical mass before release.</p><p>The certificate of analysis for the lot currently in stock is linked above and records the purity result, method, testing facility and test date. Handling and storage guidance is on the Storage &amp; handling tab.</p><p>Sold as a reference material for in-vitro laboratory research only. Not for human or veterinary use.</p>",taxable,1,42,0,25,49.00,"Peptides, Research Peptides","lyophilized, hplc-tested",137525-51-0,C62H98N16O22,1419.53 g/mol,Gly-Glu-Pro-Pro-Pro-Gly-Lys-Pro-Ala-Asp-Asp-Ala-Gly-Leu-Val,99.1%,RP-HPLC / ESI-MS,HX-24-0918,5 mg,Lyophilized powder,"-20 °C, desiccated","Soluble in sterile water; DMSO for stock solutions",https://example.com/coa/HX-24-0918.pdf
simple,HX-101-10,BPC-157 10 mg,1,1,visible,"Synthetic pentadecapeptide reference material, 10 mg per vial, assayed at 99.1% by RP-HPLC. Lyophilized, research use only.","<p>The same lot and specification as the 5 mg presentation, filled at 10 mg per vial for laboratories running larger in-vitro series. Assayed by RP-HPLC and confirmed by ESI-MS prior to release.</p><p>Review the certificate of analysis linked above for the exact purity result and test date of the lot in stock.</p><p>Sold as a reference material for in-vitro laboratory research only. Not for human or veterinary use.</p>",taxable,1,30,0,25,79.00,"Peptides, Research Peptides","lyophilized, hplc-tested",137525-51-0,C62H98N16O22,1419.53 g/mol,Gly-Glu-Pro-Pro-Pro-Gly-Lys-Pro-Ala-Asp-Asp-Ala-Gly-Leu-Val,99.1%,RP-HPLC / ESI-MS,HX-24-0918,10 mg,Lyophilized powder,"-20 °C, desiccated","Soluble in sterile water; DMSO for stock solutions",https://example.com/coa/HX-24-0918.pdf
simple,HX-102-5,TB-500 (Thymosin β4 fragment) 5 mg,1,1,visible,"Acetylated seven-residue fragment, 5 mg per vial, assayed at 98.8% by RP-HPLC. Lyophilized, research use only.","<p>A synthetic acetylated peptide fragment supplied lyophilized in a sealed vial. Identity is confirmed by ESI mass spectrometry and purity established by reverse-phase HPLC for every lot.</p><p>Verify the specification of the lot in stock on the linked certificate before ordering.</p><p>Sold as a reference material for in-vitro laboratory research only. Not for human or veterinary use.</p>",taxable,1,27,0,25,59.00,"Peptides, Research Peptides","lyophilized, hplc-tested",,,,Ac-Leu-Lys-Lys-Thr-Glu-Thr-Gln,98.8%,RP-HPLC / ESI-MS,HX-24-0904,5 mg,Lyophilized powder,"-20 °C, desiccated","Soluble in sterile water",https://example.com/coa/HX-24-0904.pdf
simple,HX-103-50,GHK-Cu 50 mg,1,1,visible,"Copper tripeptide complex, 50 mg per vial, assayed at 99.4% by RP-HPLC. Supplied as a blue lyophilized powder for laboratory use.","<p>A copper(II)-binding tripeptide complex supplied as a lyophilized powder. Colour is characteristic of the copper complex and is recorded as an appearance check on each certificate alongside HPLC purity and MS identity.</p><p>Frequently used as an analytical reference standard in chromatography method development and in-vitro cell-culture research.</p><p>Sold as a reference material for in-vitro laboratory research only. Not for human or veterinary use.</p>",taxable,1,18,0,30,64.00,"Peptides, Reference Standards","lyophilized, hplc-tested",49557-75-7,C14H24N6O4·Cu,Complex: 340.38 g/mol (free peptide),Gly-His-Lys (Cu²⁺ complex),99.4%,RP-HPLC / ESI-MS,HX-24-0827,50 mg,Lyophilized powder (blue),"-20 °C, desiccated, protect from light","Soluble in water",https://example.com/coa/HX-24-0827.pdf
simple,HX-104-20,Epitalon (Epithalon) 20 mg,1,0,visible,"Synthetic tetrapeptide, 20 mg per vial, assayed at 99.0% by RP-HPLC. Lyophilized, research use only.","<p>A synthetic tetrapeptide supplied lyophilized in a sealed vial under lot control. Each lot is assayed by reverse-phase HPLC and confirmed by mass spectrometry before it is listed.</p><p>Sold as a reference material for in-vitro laboratory research only. Not for human or veterinary use.</p>",taxable,1,22,0,25,39.00,"Peptides, Research Peptides","lyophilized, hplc-tested",307297-39-8,C14H22N4O9,390.35 g/mol,Ala-Glu-Asp-Gly,99.0%,RP-HPLC / ESI-MS,HX-24-0811,20 mg,Lyophilized powder,"-20 °C, desiccated","Soluble in sterile water",https://example.com/coa/HX-24-0811.pdf
simple,HX-105-10,Selank 10 mg,1,0,visible,"Synthetic heptapeptide, 10 mg per vial, assayed at 98.6% by RP-HPLC. Lyophilized, research use only.","<p>A synthetic heptapeptide supplied as a lyophilized powder. Purity is established by RP-HPLC with UV detection and identity confirmed against the theoretical mass by ESI-MS.</p><p>Sold as a reference material for in-vitro laboratory research only. Not for human or veterinary use.</p>",taxable,1,15,0,25,54.00,"Peptides, Research Peptides","lyophilized, hplc-tested",,,,,98.6%,RP-HPLC / ESI-MS,HX-24-0806,10 mg,Lyophilized powder,"-20 °C, desiccated","Soluble in sterile water",https://example.com/coa/HX-24-0806.pdf
simple,HX-106-10,Semax 10 mg,1,0,visible,"Synthetic heptapeptide, 10 mg per vial, assayed at 98.9% by RP-HPLC. Lyophilized, research use only.","<p>A synthetic heptapeptide supplied lyophilized in a sealed vial. Every lot is assayed by reverse-phase HPLC and confirmed by mass spectrometry prior to release, and the certificate is published before the lot is listed.</p><p>Sold as a reference material for in-vitro laboratory research only. Not for human or veterinary use.</p>",taxable,1,19,0,25,54.00,"Peptides, Research Peptides","lyophilized, hplc-tested",,,,,98.9%,RP-HPLC / ESI-MS,HX-24-0806,10 mg,Lyophilized powder,"-20 °C, desiccated","Soluble in sterile water",https://example.com/coa/HX-24-0806B.pdf
simple,HX-107-10,KPV Tripeptide 10 mg,1,0,visible,"Synthetic tripeptide, 10 mg per vial, assayed at 99.2% by RP-HPLC. Lyophilized, research use only.","<p>A synthetic tripeptide supplied as a lyophilized powder under lot control, with HPLC purity and MS identity recorded on the certificate for each lot.</p><p>Sold as a reference material for in-vitro laboratory research only. Not for human or veterinary use.</p>",taxable,1,24,0,25,44.00,"Peptides, Research Peptides","lyophilized, hplc-tested",,,,Lys-Pro-Val,99.2%,RP-HPLC / ESI-MS,HX-24-0729,10 mg,Lyophilized powder,"-20 °C, desiccated","Soluble in water",https://example.com/coa/HX-24-0729.pdf
simple,HX-108-5,Thymosin Alpha-1 5 mg,1,0,visible,"Synthetic 28-residue acetylated peptide, 5 mg per vial, assayed at 98.5% by RP-HPLC. Lyophilized, research use only.","<p>A synthetic acetylated 28-residue peptide supplied lyophilized in a sealed vial. Purity and identity are established for each lot by RP-HPLC and ESI-MS at an independent laboratory.</p><p>Sold as a reference material for in-vitro laboratory research only. Not for human or veterinary use.</p>",taxable,0,0,0,25,89.00,"Peptides, Research Peptides","lyophilized, hplc-tested",,,,,98.5%,RP-HPLC / ESI-MS,HX-24-0715,5 mg,Lyophilized powder,"-20 °C, desiccated","Soluble in sterile water",https://example.com/coa/HX-24-0715.pdf
simple,HX-201-1,Laboratory Vial Rack (50-position),1,0,visible,"Polypropylene rack for 2 mL vials, autoclavable, 50 positions.","<p>A polypropylene storage rack with 50 positions for 2 mL vials, autoclavable to 121 °C and stable at -20 °C for freezer storage of lyophilized reference materials.</p>",taxable,1,60,0,180,18.00,"Lab Supplies",,,,,,,,,1 rack,Moulded polypropylene,Ambient,,
