Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Backorders allowed?,Weight (g),Regular price,Categories,Images,Meta: _rc_compound,Meta: _rc_cas,Meta: _rc_formula,Meta: _rc_weight,Meta: _rc_purity,Meta: _rc_test_method,Meta: _rc_lot,Meta: _rc_quantity,Meta: _rc_net_content,Meta: _rc_form,Meta: _rc_storage,Meta: _rc_solubility,Meta: _rc_coa_url
simple,PH-BPC-10,BPC-157 10 mg,1,1,visible,"Synthetic pentadecapeptide reference material, 10 mg per vial, supplied lyophilized. Assayed by RP-HPLC and confirmed by ESI-MS. Laboratory research use only.","<p>A synthetic 15-residue peptide supplied as a lyophilized powder in a sealed, labelled vial under lot control.</p><p>Each lot is assayed by reverse-phase HPLC for purity and confirmed by electrospray mass spectrometry against its theoretical mass before release. The certificate of analysis for the lot currently in stock is linked on this page and stays retrievable through the COA lookup after the lot sells out.</p><p>Supplied as a reference material for in-vitro laboratory research only. Not for human or veterinary use.</p>",taxable,1,0,0,25,75,Peptides,product-images/web/bpc-157-10mg.webp,BPC-157,137525-51-0,C62H98N16O22,1419.53 g/mol,,RP-HPLC / ESI-MS,,10 mg,,Lyophilized powder,"-20 °C, desiccated",Soluble in sterile water,
simple,PH-GHK-50,GHK-Cu 50 mg,1,1,visible,"Copper tripeptide complex, 50 mg per vial, supplied as a lyophilized powder. Assayed by RP-HPLC and confirmed by ESI-MS. Laboratory research use only.","<p>A copper(II)-binding tripeptide complex supplied as a lyophilized powder in a sealed, labelled vial under lot control. Colour is characteristic of the copper complex and is recorded as an appearance check on each certificate.</p><p>Each lot is assayed by reverse-phase HPLC for purity and confirmed by electrospray mass spectrometry against its theoretical mass before release. The certificate of analysis for the lot currently in stock is linked on this page and stays retrievable through the COA lookup after the lot sells out.</p><p>Supplied as a reference material for in-vitro laboratory research only. Not for human or veterinary use.</p>",taxable,1,0,0,30,32,Peptides,product-images/web/ghk-cu-50mg.webp,GHK-Cu,49557-75-7,C14H24N6O4·Cu,340.38 g/mol (free peptide),,RP-HPLC / ESI-MS,,50 mg,,Lyophilized powder,"-20 °C, desiccated, protect from light",Soluble in water,
simple,PH-MOT-10,MOTS-c 10 mg,1,1,visible,"Synthetic 16-residue mitochondrial-derived peptide, 10 mg per vial, supplied lyophilized. Assayed by RP-HPLC and confirmed by ESI-MS. Laboratory research use only.","<p>A synthetic 16-residue peptide supplied as a lyophilized powder in a sealed, labelled vial under lot control. Each lot is assayed by reverse-phase HPLC for purity and confirmed by electrospray mass spectrometry against its theoretical mass before release.</p><p>The certificate of analysis for the lot currently in stock is linked on this page and records the purity result, method, testing facility and test date. Storage and laboratory handling guidance is on the Storage &amp; handling tab.</p><p>Supplied as a reference material for in-vitro laboratory research only. Not for human or veterinary use.</p>",taxable,1,0,0,25,38,Peptides,product-images/web/mots-c-10mg.webp,MOTS-c,,,2174.60 g/mol,,RP-HPLC / ESI-MS,,10 mg,,Lyophilized powder,"-20 °C, desiccated",Soluble in sterile water,
simple,PH-RET-10,GLP-RT 10 mg,1,1,visible,"Synthetic peptide reference material, 10 mg per vial, supplied lyophilized. Assayed by RP-HPLC and confirmed by ESI-MS. Laboratory research use only.","<p>A synthetic peptide supplied as a lyophilized powder in a sealed, labelled vial under lot control. Purity is established by reverse-phase HPLC with UV detection and identity confirmed by ESI mass spectrometry against the theoretical mass.</p><p>Review the certificate of analysis for the lot in stock before ordering; it records the method, testing facility and test date alongside the purity result.</p><p>Supplied as a reference material for in-vitro laboratory research only. Not for human or veterinary use.</p>",taxable,1,0,0,25,84,Peptides,product-images/web/retatrutide-10mg.webp,Retatrutide,,,,,RP-HPLC / ESI-MS,,10 mg,,Lyophilized powder,"-20 °C, desiccated",Soluble in sterile water,
simple,PH-SEM-5,GLP-SEM 5 mg,1,1,visible,"Synthetic peptide reference material, 5 mg per vial, supplied lyophilized. Assayed by RP-HPLC and confirmed by ESI-MS. Laboratory research use only.","<p>A synthetic peptide supplied as a lyophilized powder in a sealed, labelled vial under lot control. Each lot is characterized by reverse-phase HPLC and electrospray mass spectrometry at an independent laboratory prior to release.</p><p>The lot certificate is linked on this page and remains retrievable through the COA lookup after the lot sells out.</p><p>Supplied as a reference material for in-vitro laboratory research only. Not for human or veterinary use.</p>",taxable,1,0,0,25,89,Peptides,product-images/web/semaglutide-5mg.webp,Semaglutide,910463-68-2,,4113.58 g/mol,,RP-HPLC / ESI-MS,,5 mg,,Lyophilized powder,"-20 °C, desiccated",Soluble in sterile water,
simple,PH-TES-10,TESA 10 mg,1,0,visible,"Synthetic 44-residue peptide reference material, 10 mg per vial, supplied lyophilized. Assayed by RP-HPLC and confirmed by ESI-MS. Laboratory research use only.","<p>A synthetic 44-residue peptide supplied as a lyophilized powder in a sealed, labelled vial under lot control. Purity and identity are established for every lot by RP-HPLC and ESI-MS, with the method and test date recorded on the certificate.</p><p>Supplied as a reference material for in-vitro laboratory research only. Not for human or veterinary use.</p>",taxable,1,0,0,25,66,Peptides,product-images/web/tesamorelin-10mg.webp,Tesamorelin,218949-48-5,,5135.90 g/mol,,RP-HPLC / ESI-MS,,10 mg,,Lyophilized powder,"-20 °C, desiccated",Soluble in sterile water,
simple,PH-TIR-30,GLP-TZ 30 mg,1,1,visible,"Synthetic peptide reference material, 30 mg per vial, supplied lyophilized. Assayed by RP-HPLC and confirmed by ESI-MS. Laboratory research use only.","<p>A synthetic peptide supplied as a lyophilized powder in a sealed, labelled vial under lot control. Each lot is assayed by reverse-phase HPLC and confirmed by mass spectrometry against the theoretical mass before it is listed as in stock.</p><p>The certificate for the lot in stock is linked on this page, and the lot remains verifiable through the COA lookup tool after it sells out.</p><p>Supplied as a reference material for in-vitro laboratory research only. Not for human or veterinary use.</p>",taxable,1,0,0,25,58,Peptides,product-images/web/tirzepatide-30mg.webp,Tirzepatide,2023788-19-2,,4813.45 g/mol,,RP-HPLC / ESI-MS,,30 mg,,Lyophilized powder,"-20 °C, desiccated",Soluble in sterile water,
simple,PH-TB5-10,TB-500 10 mg,1,0,visible,"TB-500 reference material, 10 mg per vial, supplied lyophilized. Assayed by RP-HPLC and confirmed by ESI-MS. Laboratory research use only.","<p>A synthetic acetylated peptide fragment supplied as a lyophilized powder in a sealed, labelled vial under lot control.</p><p>Each lot is assayed by reverse-phase HPLC for purity and confirmed by electrospray mass spectrometry before release. The report for the lot in stock is linked on this page and stays retrievable through the lot lookup after the lot sells out.</p><p>Supplied as a reference material for in-vitro laboratory research only. Not for human or veterinary use.</p>",taxable,1,0,0,25,69,Peptides,product-images/web/tb-500-10mg.webp,TB-500,,,,,RP-HPLC / ESI-MS,,10 mg,,Lyophilized powder,"-20 °C, desiccated",Soluble in sterile water,
simple,PH-RET-20,GLP-RT 20 mg,1,0,visible,"GLP-RT reference material, 20 mg per vial, supplied lyophilized. Assayed by RP-HPLC and confirmed by ESI-MS. Laboratory research use only.","<p>A synthetic peptide supplied as a lyophilized powder in a sealed, labelled vial under lot control.</p><p>Each lot is assayed by reverse-phase HPLC for purity and confirmed by electrospray mass spectrometry before release. The report for the lot in stock is linked on this page and stays retrievable through the lot lookup after the lot sells out.</p><p>Supplied as a reference material for in-vitro laboratory research only. Not for human or veterinary use.</p>",taxable,1,0,0,25,113,Peptides,product-images/web/retatrutide-10mg.webp,Retatrutide,,,,,RP-HPLC / ESI-MS,,20 mg,,Lyophilized powder,"-20 °C, desiccated",Soluble in sterile water,
simple,PH-RET-30,GLP-RT 30 mg,1,0,visible,"GLP-RT reference material, 30 mg per vial, supplied lyophilized. Assayed by RP-HPLC and confirmed by ESI-MS. Laboratory research use only.","<p>A synthetic peptide supplied as a lyophilized powder in a sealed, labelled vial under lot control.</p><p>Each lot is assayed by reverse-phase HPLC for purity and confirmed by electrospray mass spectrometry before release. The report for the lot in stock is linked on this page and stays retrievable through the lot lookup after the lot sells out.</p><p>Supplied as a reference material for in-vitro laboratory research only. Not for human or veterinary use.</p>",taxable,1,0,0,25,142,Peptides,product-images/web/retatrutide-10mg.webp,Retatrutide,,,,,RP-HPLC / ESI-MS,,30 mg,,Lyophilized powder,"-20 °C, desiccated",Soluble in sterile water,
